,symbol
1572,LIOX
1573,LIQD
1574,LIVE
1575,LJPC
1576,LKFN
1577,LKQ
1578,LLEX
1579,LLNW
1580,LLTC
1581,LMAT
1582,LMBS
1583,LMCA
1584,LMCB
1585,LMCK
1586,LMIA
1587,LMNR
1588,LMNS
1589,LMNX
1590,LMOS
1591,LMRK
1592,LNBB
1593,LNCE
1594,LNCO
1595,LNDC
1596,LOAN
1597,LOCM
1598,LOCO
1599,LOGI
1600,LOGM
1601,LOJN
1602,LONG
1603,LOOK
1604,LOPE
1605,LORL
1606,LOXO
1607,LPCN
1608,LPHI
1609,LPLA
1610,LPNT
1611,LPSB
1612,LPSN
1613,LPTH
1614,LPTN
1615,LQDT
1616,LRAD
1617,LRCX
1618,LSBK
1619,LSCC
1620,LSTR
1621,LTBR
1622,LTRE
1623,LTRPA
1624,LTRPB
1625,LTRX
1626,LTXB
1627,LULU
1628,LUNA
1629,LVNTA
1630,LVNTB
1631,LWAY
1632,LXRX
1633,LYTS
1634,MACK
1635,MAG
1636,MAGS
1637,MAMS
1638,MANH
1639,MANT
1640,MAR
1641,MARA
1642,MARK
1643,MARPS
1644,MASI
1645,MAT
1646,MATR
1647,MATW
1648,MAYS
1649,MBCN
1650,MBFI
1651,MBFIP
1652,MBII
1653,MBLX
1654,MBRG
1655,MBSD
1656,MBTF
1657,MBUU
1658,MBVT
1659,MBWM
1660,MCBC
1661,MCBK
1662,MCEP
1663,MCGC
1664,MCHP
1665,MCHX
1666,MCOX
1667,MCRI
1668,MCRL
1669,MCUR
1670,MDAS
1671,MDCA
1672,MDCO
1673,MDIV
1674,MDLZ
1675,MDM
1676,MDRX
1677,MDSO
1678,MDSY
1679,MDVN
1680,MDVXU
1681,MDWD
1682,MDXG
1683,MEET
1684,MEIL
1685,MEILW
1686,MEILZ
1687,MEIP
1688,MELA
1689,MELI
1690,MELR
1691,MEMP
1692,MENT
1693,MEOH
1694,MERC
1695,MERU
1696,METR
1697,MFI
1698,MFLX
1699,MFNC
1700,MFRI
1701,MFRM
1702,MFSF
1703,MGCD
1704,MGEE
1705,MGI
1706,MGIC
1707,MGLN
1708,MGNX
1709,MGPI
1710,MGRC
1711,MGYR
1712,MHGC
1713,MHLD
1714,MHLDO
1715,MICT
1716,MICTW
1717,MIDD
1718,MIFI
1719,MIK
1720,MIND
1721,MINI
1722,MITK
1723,MITL
1724,MKSI
1725,MKTO
1726,MKTX
1727,MLAB
1728,MLHR
